country,nm_municipio,direction,pc_votos_validos,year,lat,lon
Germany,FRANKFURT,left,0.7151,2022,50.1106444,8.6820917
Germany,MUNIQUE,right,0.7131,2014,48.1371079,11.5753822
Germany,MUNIQUE,right,0.523,2018,48.1371079,11.5753822
Germany,MUNIQUE,left,0.6939,2022,48.1371079,11.5753822
Ghana,ACCRA,left,0.7778,2022,5.5571096,-0.2012376
Ghana,ACCRA-GANA,left,0.6429,2018,6.4019026,-0.5930689
Greece,ATENAS,right,0.7906,2014,37.9755648,23.7348324
Greece,ATENAS,right,0.736,2018,37.9755648,23.7348324
Greece,ATENAS,right,0.5563,2022,37.9755648,23.7348324
Guatemala,GUATEMALA,right,0.8374,2018,15.5855545,-90.345759
Guatemala,GUATEMALA,right,0.7552,2022,15.5855545,-90.345759
Guatemala,GUATEMALA-GUAT,right,0.6883,2014,,
Guinea-Bissau,BISSAU,left,0.5,2014,11.861324,-15.583055
Guinea-Bissau,BISSAU,right,0.5185,2018,11.861324,-15.583055
Guinea-Bissau,BISSAU,right,0.5556,2022,11.861324,-15.583055
Guyana,GEORGETOWN,right,0.5942,2014,6.8137426,-58.1624465
Guyana,GEORGETOWN,right,0.8545,2018,6.8137426,-58.1624465
Guyana,GEORGETOWN,right,0.8788,2022,6.8137426,-58.1624465
Haiti,PORTO PRÍNCIPE,left,0.7222,2014,18.547327,-72.3395928
Haiti,PORTO PRÍNCIPE,right,0.6538,2018,18.547327,-72.3395928
Haiti,PORTO PRÍNCIPE,right,0.6,2022,18.547327,-72.3395928
Honduras,TEGUCIGALPA,right,0.614,2014,14.1057433,-87.2040052
Honduras,TEGUCIGALPA,right,0.6667,2018,14.1057433,-87.2040052
Honduras,TEGUCIGALPA,right,0.6184,2022,14.1057433,-87.2040052
Hong Kong,HONG KONG,right,0.5429,2022,22.2793278,114.1628131
Hong Kong,HONG KONG-HONG,right,0.8468,2014,22.2793278,114.1628131
Hong Kong,HONG KONG-HONG,right,0.8065,2018,22.2793278,114.1628131
Hungary,BUDAPESTE,right,0.7945,2014,47.4978789,19.0402383
Hungary,BUDAPESTE,right,0.5091,2018,47.4978789,19.0402383
Hungary,BUDAPESTE,left,0.8528,2022,47.4978789,19.0402383
India,MUMBAI,left,0.7333,2022,19.054999,72.8692035
India,NOVA DELHI,right,0.7368,2014,28.6138954,77.2090057
India,NOVA DELHI,right,0.5333,2018,28.6138954,77.2090057
India,NOVA DELHI,left,0.6216,2022,28.6138954,77.2090057
Indonesia,JACARTA,right,0.9444,2014,-6.1754049,106.827168
Indonesia,JACARTA,right,0.64,2018,-6.1754049,106.827168
Indonesia,JACARTA,right,0.6809,2022,-6.1754049,106.827168
Iran,TEERÃ,right,0.7,2014,35.6892523,51.3896004
Iran,TEERÃ,right,0.7586,2018,35.6892523,51.3896004
Iran,TEERÃ,right,0.5294,2022,35.6892523,51.3896004
Ireland,DUBLIN,right,0.7673,2014,53.3493795,-6.2605593
Ireland,DUBLIN,left,0.5385,2018,53.3493795,-6.2605593
Ireland,DUBLIN,left,0.8181,2022,53.3493795,-6.2605593
Israel,TEL AVIV,right,0.9212,2014,32.0852997,34.7818064
Israel,TEL AVIV,right,0.7727,2018,32.0852997,34.7818064
Israel,TEL AVIV,right,0.5343,2022,32.0852997,34.7818064
Italy,MILÃO,right,0.6774,2014,45.4641943,9.1896346
Italy,MILÃO,right,0.6527,2018,45.4641943,9.1896346
Italy,MILÃO,left,0.5255,2022,45.4641943,9.1896346
Italy,ROMA,right,0.6504,2014,41.8933203,12.4829321
Italy,ROMA,right,0.5752,2018,41.8933203,12.4829321
Italy,ROMA,left,0.5978,2022,41.8933203,12.4829321
Ivory Coast,ABIDJÃ,left,0.7021,2014,5.320357,-4.016107
Ivory Coast,ABIDJÃ,left,0.6296,2018,5.320357,-4.016107
Ivory Coast,ABIDJÃ,left,0.6341,2022,5.320357,-4.016107
Jamaica,KINGSTON-JAMA,right,0.7778,2014,,
Jamaica,KINGSTON-JAMAICA,right,0.85,2018,18.0039296,-76.790066
Jamaica,KINGSTON-JAMAICA,left,0.5238,2022,18.0039296,-76.790066
Japan,HAMAMATSU,right,0.9021,2014,34.7109786,137.7259431
Japan,HAMAMATSU,right,0.9214,2018,34.7109786,137.7259431
Japan,HAMAMATSU,right,0.8539,2022,34.7109786,137.7259431
Japan,MITSUKAIDO-JAPA,right,0.9052,2014,,
Japan,NAGÓIA,right,0.8987,2014,35.1851045,136.8998438
Japan,NAGÓIA,right,0.9203,2018,35.1851045,136.8998438
Japan,NAGÓIA,right,0.8572,2022,35.1851045,136.8998438
Japan,OIZUMI-JAPA,right,0.9057,2014,,
Japan,SUZUKA-JAPA,right,0.9065,2014,,
Japan,TAKAOKA-JAPA,right,0.8092,2014,,
Japan,TOYOHASHI-JAPA,right,0.8945,2014,,
Japan,TÓQUIO,right,0.87,2014,35.6768601,139.7638947
Japan,TÓQUIO,right,0.8933,2018,35.6768601,139.7638947
Japan,TÓQUIO,right,0.8033,2022,35.6768601,139.7638947
Japan,UEDA-JAPA,right,0.8973,2014,,
Jordan,AMÃ,left,0.625,2014,31.9515694,35.9239625
Jordan,AMÃ,left,0.66,2018,31.9515694,35.9239625
Jordan,AMÃ,left,0.765,2022,31.9515694,35.9239625
Kenya,NAIRÓBI,right,0.6286,2014,-1.2832533,36.8172449
Kenya,NAIRÓBI,left,0.5429,2018,-1.2832533,36.8172449
Kenya,NAIRÓBI,left,0.5833,2022,-1.2832533,36.8172449
Kuwait,KUAITE,right,0.6471,2014,29.3796532,47.9734174
Kuwait,KUAITE,right,0.5532,2018,29.3796532,47.9734174
Kuwait,KUAITE,right,0.7436,2022,29.3796532,47.9734174
Lebanon,BEIRUTE,right,0.5847,2014,33.8892265,35.5025585
Lebanon,BEIRUTE,right,0.5252,2018,33.8892265,35.5025585
Lebanon,BEIRUTE,left,0.5914,2022,33.8892265,35.5025585
Malaysia,KUALA LUMPUR,right,0.6875,2014,3.1526589,101.7022205
Malaysia,KUALA LUMPUR,right,0.6296,2018,3.1526589,101.7022205
Malaysia,KUALA LUMPUR,left,0.5517,2022,3.1526589,101.7022205
Mexico,MEXICO,right,0.5237,2022,23.6585116,-102.0077097
Mexico,MÉXICO-MEXI,right,0.6545,2014,,
Mexico,MÉXICO-MEXI,right,0.6885,2018,,
Morocco,RABAT,right,0.5714,2014,34.0218454,-6.8408929
Morocco,RABAT,left,0.7273,2018,34.0218454,-6.8408929
Morocco,RABAT,left,0.8261,2022,34.0218454,-6.8408929
